u	v	score
ENSG00000001630	ENSG00000104133	0.7076399855562038
ENSG00000001630	ENSG00000107581	0.7374448965657183
ENSG00000001630	ENSG00000107854	0.7007421476734795
ENSG00000001630	ENSG00000110048	0.7001621659495239
ENSG00000001630	ENSG00000110344	0.7556481604033632
ENSG00000001630	ENSG00000110713	0.7100488476880228
ENSG00000001630	ENSG00000111647	0.7115829032943082
ENSG00000001630	ENSG00000113712	0.7367451088638741
ENSG00000001630	ENSG00000114439	0.7082832034648755
ENSG00000001630	ENSG00000115464	0.7762534448851106
ENSG00000001630	ENSG00000116539	0.7241006065863178
ENSG00000001630	ENSG00000123444	0.7229222977939199
ENSG00000001630	ENSG00000124198	0.7268827440498228
ENSG00000001630	ENSG00000124486	0.7136833875315491
ENSG00000001630	ENSG00000125107	0.7421702457630881
ENSG00000001630	ENSG00000127481	0.7175485168552034
ENSG00000001630	ENSG00000128585	0.7296892274535649
ENSG00000001630	ENSG00000132405	0.7633997890581886
ENSG00000001630	ENSG00000132549	0.712293244252108
ENSG00000001630	ENSG00000133812	0.7234362876060483
ENSG00000001630	ENSG00000135913	0.7846462870418547
ENSG00000001630	ENSG00000137145	0.7640677910425534
ENSG00000001630	ENSG00000137693	0.7153237966879565
ENSG00000001630	ENSG00000138757	0.718523205396857
ENSG00000001630	ENSG00000140386	0.7100070520255789
ENSG00000001630	ENSG00000143970	0.7693072391297396
ENSG00000001630	ENSG00000147133	0.7077626954871521
ENSG00000001630	ENSG00000147649	0.7659937267375206
ENSG00000001630	ENSG00000152291	0.7078140036749743
ENSG00000001630	ENSG00000153107	0.7142990352056733
ENSG00000001630	ENSG00000153827	0.7132011314683208
ENSG00000001630	ENSG00000157450	0.7269531468739537
ENSG00000001630	ENSG00000159459	0.7122179528007417
ENSG00000001630	ENSG00000160218	0.7380657037350604
ENSG00000001630	ENSG00000164323	0.7115712859228064
ENSG00000001630	ENSG00000165650	0.7459905108221356
ENSG00000001630	ENSG00000166326	0.7356508607498535
ENSG00000001630	ENSG00000166439	0.7465645585953554
ENSG00000001630	ENSG00000166716	0.7337037862579635
ENSG00000001630	ENSG00000170832	0.7676163990103025
ENSG00000001630	ENSG00000176986	0.7895208489737626
ENSG00000001630	ENSG00000176994	0.7254468472723868
ENSG00000001630	ENSG00000179295	0.717922025854531
ENSG00000001630	ENSG00000186660	0.7313949895678699
ENSG00000001630	ENSG00000188167	0.7358226336814179
ENSG00000001630	ENSG00000188419	0.7313772341240629
ENSG00000001630	ENSG00000196367	0.7283268070428707
ENSG00000001630	ENSG00000196914	0.7464674385263921
ENSG00000001630	ENSG00000197429	0.7568522940109862
ENSG00000001630	ENSG00000198146	0.7803493531821787
ENSG00000001630	ENSG00000198162	0.7206413778926153
ENSG00000001630	ENSG00000198752	0.7486121676719522
ENSG00000001630	ENSG00000198961	0.7654865791398938
ENSG00000001630	ENSG00000205339	0.7167010120658837
ENSG00000001630	ENSG00000253710	0.7147719225901629
ENSG00000001630	ENSG00000253729	0.738292687380585
ENSG00000001630	ENSG00000263001	0.801674015812213
ENSG00000001631	ENSG00000004766	0.7834620323122496
ENSG00000001631	ENSG00000015171	0.7381247164441253
ENSG00000001631	ENSG00000062725	0.7318673577128478
ENSG00000001631	ENSG00000064419	0.7343752573619391
ENSG00000001631	ENSG00000065243	0.7088545287737853
ENSG00000001631	ENSG00000066739	0.7493907703178899
ENSG00000001631	ENSG00000071189	0.7148984288103002
ENSG00000001631	ENSG00000076685	0.7375080184770417
ENSG00000001631	ENSG00000077254	0.7593596951811302
ENSG00000001631	ENSG00000089682	0.7283071413002942
ENSG00000001631	ENSG00000090686	0.7272755634756582
ENSG00000001631	ENSG00000092439	0.750203942192836
ENSG00000001631	ENSG00000094880	0.719952607662148
ENSG00000001631	ENSG00000100722	0.7697868751188522
ENSG00000001631	ENSG00000101452	0.7126011428573128
ENSG00000001631	ENSG00000105793	0.7283294910440257
ENSG00000001631	ENSG00000105948	0.722925456175862
ENSG00000001631	ENSG00000108587	0.7097543020120524
ENSG00000001631	ENSG00000108599	0.7466731594735366
ENSG00000001631	ENSG00000110844	0.7018431453818482
ENSG00000001631	ENSG00000111300	0.7168245979965823
ENSG00000001631	ENSG00000111554	0.7441427503287642
ENSG00000001631	ENSG00000111727	0.736066528417891
ENSG00000001631	ENSG00000111877	0.736860158571657
