u	v	score
ENSG00000004975	ENSG00000141456	0.7016431543120865
ENSG00000004975	ENSG00000161956	0.7273536503043012
ENSG00000005007	ENSG00000167487	0.7819372390240272
ENSG00000005073	ENSG00000253293	0.7045831738044741
ENSG00000005075	ENSG00000106245	0.7629148598410451
ENSG00000005075	ENSG00000106400	0.8042635884733337
ENSG00000005075	ENSG00000160813	0.8208840960854226
ENSG00000005075	ENSG00000160993	0.7390826336632704
ENSG00000005075	ENSG00000168090	0.7036782492029554
ENSG00000005075	ENSG00000172336	0.7995786070626913
ENSG00000005075	ENSG00000241468	0.7714364986761791
ENSG00000005100	ENSG00000167721	0.7629216536940452
ENSG00000005100	ENSG00000178921	0.7110413097011693
ENSG00000005100	ENSG00000187607	0.7044956077542299
ENSG00000005102	ENSG00000066382	0.7398390705485397
ENSG00000005102	ENSG00000102935	0.7004073788912618
ENSG00000005102	ENSG00000106031	0.7465456270477735
ENSG00000005102	ENSG00000106511	0.8073731603463029
ENSG00000005102	ENSG00000108001	0.8243028001292422
ENSG00000005102	ENSG00000108684	0.8154204705885817
ENSG00000005102	ENSG00000112280	0.7774427008932859
ENSG00000005102	ENSG00000138829	0.7994232350691092
ENSG00000005102	ENSG00000140557	0.790227408777564
ENSG00000005102	ENSG00000144730	0.741879313084793
ENSG00000005102	ENSG00000146276	0.7200242157158474
ENSG00000005102	ENSG00000183304	0.8141708924780882
ENSG00000005102	ENSG00000183873	0.8235261760847138
ENSG00000005102	ENSG00000204248	0.7397318856304939
ENSG00000005102	ENSG00000260428	0.7941295508139752
ENSG00000005175	ENSG00000079387	0.7739038394605194
ENSG00000005194	ENSG00000088682	0.7030181447969911
ENSG00000005339	ENSG00000065526	0.7097728074656801
ENSG00000005339	ENSG00000140992	0.7217080634911892
ENSG00000005436	ENSG00000132300	0.7027461385926245
ENSG00000005471	ENSG00000122728	0.7450779277277211
ENSG00000005483	ENSG00000005810	0.7332889545458151
ENSG00000005483	ENSG00000011405	0.7406806544837979
ENSG00000005483	ENSG00000011523	0.7110401241352835
ENSG00000005483	ENSG00000015479	0.7125643783248867
ENSG00000005483	ENSG00000018189	0.7107567386358487
ENSG00000005483	ENSG00000023516	0.7481262542902753
ENSG00000005483	ENSG00000029363	0.7155701755405989
ENSG00000005483	ENSG00000030419	0.7066709702582546
ENSG00000005483	ENSG00000033800	0.7002639231852433
ENSG00000005483	ENSG00000048405	0.7742656088432976
ENSG00000005483	ENSG00000048649	0.737651273498156
ENSG00000005483	ENSG00000055609	0.8434673934523664
ENSG00000005483	ENSG00000056586	0.7143794950810293
ENSG00000005483	ENSG00000061987	0.7269581656953432
ENSG00000005483	ENSG00000066427	0.7095684156597085
ENSG00000005483	ENSG00000066739	0.7169272010203372
ENSG00000005483	ENSG00000066933	0.7558327860985246
ENSG00000005483	ENSG00000069667	0.7079681478252873
ENSG00000005483	ENSG00000075292	0.7310174607960829
ENSG00000005483	ENSG00000080802	0.8540802669606286
ENSG00000005483	ENSG00000081386	0.7234835534727552
ENSG00000005483	ENSG00000082258	0.7056480180644066
ENSG00000005483	ENSG00000083844	0.7312454223388535
ENSG00000005483	ENSG00000085224	0.7730378778249809
ENSG00000005483	ENSG00000089682	0.7046449394207257
ENSG00000005483	ENSG00000090905	0.7300210877588386
ENSG00000005483	ENSG00000092439	0.7234101297833098
ENSG00000005483	ENSG00000095564	0.7403186163860699
ENSG00000005483	ENSG00000095951	0.7056113015034492
ENSG00000005483	ENSG00000100354	0.7386010483062058
ENSG00000005483	ENSG00000100697	0.7324386390083295
ENSG00000005483	ENSG00000100815	0.73425412494041
ENSG00000005483	ENSG00000101745	0.7672709538313216
ENSG00000005483	ENSG00000102128	0.7111764511392799
ENSG00000005483	ENSG00000102908	0.7381993314881172
ENSG00000005483	ENSG00000103657	0.7187545679065462
ENSG00000005483	ENSG00000107290	0.7404901376260357
ENSG00000005483	ENSG00000107864	0.7072308464712106
ENSG00000005483	ENSG00000107890	0.7151792900681487
ENSG00000005483	ENSG00000108256	0.7334564938086205
ENSG00000005483	ENSG00000109381	0.7090119270856828
ENSG00000005483	ENSG00000109756	0.7060755083561503
ENSG00000005483	ENSG00000113441	0.7165189023669661
ENSG00000005483	ENSG00000114857	0.7315629032927267
ENSG00000005483	ENSG00000114933	0.7568965386309152
ENSG00000005483	ENSG00000115020	0.7747959817007396
ENSG00000005483	ENSG00000115464	0.7502638514871712
